chain_id,segment_id,x_cm,y_cm,z_cm
0.000000000000000000e+00,0.000000000000000000e+00,2.621780831931537215e+00,6.655000144869413603e+00,5.123957592679835749e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.528336950639439085e+00,6.681801107856547794e+00,5.147408593341440408e+00
0.000000000000000000e+00,2.000000000000000000e+00,2.431929672524788977e+00,6.702005130788311504e+00,5.164654873633065968e+00
0.000000000000000000e+00,3.000000000000000000e+00,2.332788064040149045e+00,6.713769696746095583e+00,5.158950800097133360e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.239412930964129966e+00,6.737473925053436119e+00,5.132133005941214243e+00
0.000000000000000000e+00,5.000000000000000000e+00,2.147205439346238087e+00,6.743705524299730136e+00,5.093936858748467245e+00
0.000000000000000000e+00,6.000000000000000000e+00,2.050785359373895389e+00,6.743217590346574752e+00,5.067424029805022379e+00
0.000000000000000000e+00,7.000000000000000000e+00,1.956581678103219257e+00,6.747568902973862137e+00,5.034156440269973665e+00
0.000000000000000000e+00,8.000000000000000000e+00,1.857744345253226959e+00,6.740196020205435623e+00,5.020858988078563456e+00
0.000000000000000000e+00,9.000000000000000000e+00,1.765705646028449483e+00,6.720187053685610756e+00,4.987265549674323672e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.678400015086030761e+00,6.681557044897227904e+00,4.957509050774828729e+00
0.000000000000000000e+00,1.100000000000000000e+01,1.595531816882645781e+00,6.653156692574287767e+00,4.909277508041287597e+00
0.000000000000000000e+00,1.200000000000000000e+01,1.507232800318699661e+00,6.645088498079542383e+00,4.863036964019456398e+00
0.000000000000000000e+00,1.300000000000000000e+01,1.428200798001171723e+00,6.652747728650114212e+00,4.802248159155821483e+00
0.000000000000000000e+00,1.400000000000000000e+01,1.346319588111272170e+00,6.667538718290427546e+00,4.746780203610062365e+00
0.000000000000000000e+00,1.500000000000000000e+01,1.264642140690109384e+00,6.670505544675481957e+00,4.689160827320795200e+00
0.000000000000000000e+00,1.600000000000000000e+01,1.175731220736600413e+00,6.689260952468204735e+00,4.647410581913739236e+00
0.000000000000000000e+00,1.700000000000000000e+01,1.098504514166822821e+00,6.727417384459676519e+00,4.596615675770842735e+00
0.000000000000000000e+00,1.800000000000000000e+01,1.008586354371755256e+00,6.747478359969237616e+00,4.557727608183554935e+00
0.000000000000000000e+00,1.900000000000000000e+01,9.107095532753630707e-01,6.759973813315563795e+00,4.541479671305075350e+00
0.000000000000000000e+00,2.000000000000000000e+01,8.140834767810400940e-01,6.784229732658201506e+00,4.532816431832643822e+00
0.000000000000000000e+00,2.100000000000000000e+01,7.162704811957542050e-01,6.803756491935027739e+00,4.539980478648356410e+00
0.000000000000000000e+00,2.200000000000000000e+01,6.267246715075970309e-01,6.846476362666133575e+00,4.552492896960177227e+00
0.000000000000000000e+00,2.300000000000000000e+01,5.398867978337296147e-01,6.894381589148256495e+00,4.565309798750310399e+00
0.000000000000000000e+00,2.400000000000000000e+01,4.485764942932367050e-01,6.923295485067294308e+00,4.594057234986018479e+00
0.000000000000000000e+00,2.500000000000000000e+01,3.583993960613089391e-01,6.961237052336308295e+00,4.614758163169076610e+00
