chain_id,segment_id,x_cm,y_cm,z_cm
0.000000000000000000e+00,0.000000000000000000e+00,2.621780831931537215e+00,6.655000144869413603e+00,5.123957592679835749e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.434893069347340955e+00,6.708602070843681098e+00,5.170859594003045068e+00
0.000000000000000000e+00,2.000000000000000000e+00,2.237324326984773126e+00,6.732906557788660429e+00,5.190247320935686304e+00
0.000000000000000000e+00,3.000000000000000000e+00,2.044662694694800109e+00,6.729598715801295761e+00,5.136669773168456743e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.889962213369925204e+00,6.762471276029228484e+00,5.014247733233186288e+00
0.000000000000000000e+00,5.000000000000000000e+00,1.744996625242838828e+00,6.743538418417053038e+00,4.877768704948232781e+00
0.000000000000000000e+00,6.000000000000000000e+00,1.569243800037773084e+00,6.710407302566236964e+00,4.788251814950214680e+00
0.000000000000000000e+00,7.000000000000000000e+00,1.425219590418127513e+00,6.678645945464888101e+00,4.653165756311593348e+00
0.000000000000000000e+00,8.000000000000000000e+00,1.250832937768603159e+00,6.607420211000385457e+00,4.585963151245374014e+00
0.000000000000000000e+00,9.000000000000000000e+00,1.120592112578509214e+00,6.510110794789659927e+00,4.469480513180591252e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.003332073611580277e+00,6.374532095367676732e+00,4.380775950025599386e+00
0.000000000000000000e+00,1.100000000000000000e+01,8.941378524226777369e-01,6.282857616206372064e+00,4.240517574413115831e+00
0.000000000000000000e+00,1.200000000000000000e+01,7.763239275611530932e-01,6.256960820586019878e+00,4.080989410487993574e+00
0.000000000000000000e+00,1.300000000000000000e+01,6.924655196712350413e-01,6.280960478595916996e+00,3.901012234597337702e+00
0.000000000000000000e+00,1.400000000000000000e+01,5.737689416194154957e-01,6.326168426973824310e+00,3.746521575454952124e+00
0.000000000000000000e+00,1.500000000000000000e+01,4.424888205418102682e-01,6.331219583696301001e+00,3.595723645676011770e+00
0.000000000000000000e+00,1.600000000000000000e+01,2.854093514768618611e-01,6.398581536534631020e+00,3.491856385636668669e+00
0.000000000000000000e+00,1.700000000000000000e+01,1.898179985569969919e-01,6.524343176789605181e+00,3.369193012589420722e+00
0.000000000000000000e+00,1.800000000000000000e+01,3.222030004804862791e-02,6.601468764405920453e+00,3.273200256823578513e+00
0.000000000000000000e+00,1.900000000000000000e+01,6.840914216134132531e+00,6.656992148532837383e+00,3.255335876828276298e+00
0.000000000000000000e+00,2.000000000000000000e+01,6.658183219364014249e+00,6.738273425859386379e+00,3.256990197100725126e+00
0.000000000000000000e+00,2.100000000000000000e+01,6.472343582507796178e+00,6.796426717273979179e+00,3.302617207421350454e+00
0.000000000000000000e+00,2.200000000000000000e+01,6.330910303320940180e+00,6.924331481130979071e+00,3.362924743609938982e+00
0.000000000000000000e+00,2.300000000000000000e+01,6.240515294036841354e+00,8.518984062426948611e-02,3.440082571972685521e+00
0.000000000000000000e+00,2.400000000000000000e+01,6.138505246068636012e+00,1.855290959769311243e-01,3.579817978898767628e+00
0.000000000000000000e+00,2.500000000000000000e+01,6.098967401212556538e+00,3.281484830631038463e-01,3.714341096805323428e+00
1.000000000000000000e+00,0.000000000000000000e+00,5.288857969801340708e+00,1.601587158441357239e+00,5.388593688015509420e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.120132765275793751e+00,1.510344126221089045e+00,4.822332756194892545e-01
1.000000000000000000e+00,2.000000000000000000e+00,4.992270328604988094e+00,1.424388926329982930e+00,3.547071963247652171e-01
1.000000000000000000e+00,3.000000000000000000e+00,4.855771379054589332e+00,1.302632482613469422e+00,2.738158792063917768e-01
1.000000000000000000e+00,4.000000000000000000e+00,4.710614949415651509e+00,1.193941072285239269e+00,1.894607474399346292e-01
1.000000000000000000e+00,5.000000000000000000e+00,4.532156906611899849e+00,1.121945806517660627e+00,1.349684666498068286e-01
1.000000000000000000e+00,6.000000000000000000e+00,4.384807251247984539e+00,1.050806690192868098e+00,1.995844450972082684e-02
1.000000000000000000e+00,7.000000000000000000e+00,4.253439092251947606e+00,9.785883024016368559e-01,6.887569203002612994e+00
1.000000000000000000e+00,8.000000000000000000e+00,4.076545884253954810e+00,9.092067400835902591e-01,6.825159333795205008e+00
1.000000000000000000e+00,9.000000000000000000e+00,3.907550837513136699e+00,9.087150134847790106e-01,6.718199376885992002e+00
1.000000000000000000e+00,1.000000000000000000e+01,3.722468394570583872e+00,9.074973252382915190e-01,6.642416749920762697e+00
1.000000000000000000e+00,1.100000000000000000e+01,3.555314518372024057e+00,8.944230369956129856e-01,6.533381688317883018e+00
1.000000000000000000e+00,1.200000000000000000e+01,3.378405344513715214e+00,8.165879065097098044e-01,6.481953712788866007e+00
1.000000000000000000e+00,1.300000000000000000e+01,3.225255681477695369e+00,7.815348303968098209e-01,6.358194015928471110e+00
1.000000000000000000e+00,1.400000000000000000e+01,3.110858751777104914e+00,6.693782253278792727e-01,6.238468336082875432e+00
1.000000000000000000e+00,1.500000000000000000e+01,3.073570564111610892e+00,5.270045060427550609e-01,6.103045608605012440e+00
1.000000000000000000e+00,1.600000000000000000e+01,3.050391720718927058e+00,4.049647949697585125e-01,5.946300432793451662e+00
1.000000000000000000e+00,1.700000000000000000e+01,3.034963528222797802e+00,2.346526072496694371e-01,5.842590599169540155e+00
1.000000000000000000e+00,1.800000000000000000e+01,2.973487439480393402e+00,1.209621184666004046e-01,5.689963067992485080e+00
1.000000000000000000e+00,1.900000000000000000e+01,2.908594388993483992e+00,6.602773960926094921e-02,5.508935152968139626e+00
1.000000000000000000e+00,2.000000000000000000e+01,2.864741943168954030e+00,6.509597432232382130e-02,5.313804184619554505e+00
1.000000000000000000e+00,2.100000000000000000e+01,2.823293636987223021e+00,1.071097763773366102e-01,5.122710285314663992e+00
1.000000000000000000e+00,2.200000000000000000e+01,2.722849528785892037e+00,8.852124531998963042e-02,4.950764225049331557e+00
1.000000000000000000e+00,2.300000000000000000e+01,2.642284856836494278e+00,1.239371623746665374e-01,4.771167325151637328e+00
1.000000000000000000e+00,2.400000000000000000e+01,2.502542141448390822e+00,1.787561861326872614e-01,4.639005121287684830e+00
1.000000000000000000e+00,2.500000000000000000e+01,2.362916797698171756e+00,2.880317452531175881e-01,4.546465316006116808e+00
2.000000000000000000e+00,0.000000000000000000e+00,4.563728816518203502e+00,1.569885166223918382e+00,4.985254549432751148e+00
2.000000000000000000e+00,1.000000000000000000e+00,4.467451515460071576e+00,1.425000258009698983e+00,5.083941147675465899e+00
2.000000000000000000e+00,2.000000000000000000e+00,4.436820793003250607e+00,1.298894527970436918e+00,5.236122301873473717e+00
2.000000000000000000e+00,3.000000000000000000e+00,4.342635565590462043e+00,1.152727311919111264e+00,5.334936713216184678e+00
2.000000000000000000e+00,4.000000000000000000e+00,4.184817494195003817e+00,1.065085275004489462e+00,5.421031601023034163e+00
2.000000000000000000e+00,5.000000000000000000e+00,4.070947182529879527e+00,9.983775704881785451e-01,5.571310123372210654e+00
2.000000000000000000e+00,6.000000000000000000e+00,3.980192600277752124e+00,8.706765051151913459e-01,5.695632461279949155e+00
2.000000000000000000e+00,7.000000000000000000e+00,3.835213744851722062e+00,8.066097101968914274e-01,5.817602036454476711e+00
2.000000000000000000e+00,8.000000000000000000e+00,3.717198770893978654e+00,7.492129980067513406e-01,5.968526134435930608e+00
2.000000000000000000e+00,9.000000000000000000e+00,3.605163056675681599e+00,7.422372226709488263e-01,6.134053586231880573e+00
2.000000000000000000e+00,1.000000000000000000e+01,3.468740481527570196e+00,6.650321659155118414e-01,6.258264134098587839e+00
2.000000000000000000e+00,1.100000000000000000e+01,3.398478629946291463e+00,5.983656911737187389e-01,6.433246571382654544e+00
2.000000000000000000e+00,1.200000000000000000e+01,3.407897758604752525e+00,5.233265792077411716e-01,6.618396272140373071e+00
2.000000000000000000e+00,1.300000000000000000e+01,3.465669192184564817e+00,4.683548017082723725e-01,6.801809917054491450e+00
2.000000000000000000e+00,1.400000000000000000e+01,3.539426987419052040e+00,3.998716447822410203e-01,6.974638863876463368e+00
2.000000000000000000e+00,1.500000000000000000e+01,3.645778300670893479e+00,3.145225755612589547e-01,1.209431172415680322e-01
2.000000000000000000e+00,1.600000000000000000e+01,3.740418326706019592e+00,2.543060874816007177e-01,2.865246380566128792e-01
2.000000000000000000e+00,1.700000000000000000e+01,3.852871950579974225e+00,2.115493852097718175e-01,4.462933674389715222e-01
2.000000000000000000e+00,1.800000000000000000e+01,4.001229405149258511e+00,1.936918744226963640e-01,5.792263392037382275e-01
2.000000000000000000e+00,1.900000000000000000e+01,4.102349236339877692e+00,1.038719682197097871e-01,7.265598526678092028e-01
2.000000000000000000e+00,2.000000000000000000e+01,4.142736291939083770e+00,6.971725304216463748e+00,8.711494267485146992e-01
2.000000000000000000e+00,2.100000000000000000e+01,4.095436888871454073e+00,6.840015457619498029e+00,1.014031485730214399e+00
2.000000000000000000e+00,2.200000000000000000e+01,4.062451222892661917e+00,6.665961429622182521e+00,1.106860043716672237e+00
2.000000000000000000e+00,2.300000000000000000e+01,4.107351392930738143e+00,6.508102159006609710e+00,1.221159761175952596e+00
2.000000000000000000e+00,2.400000000000000000e+01,4.119672344698438238e+00,6.407129437003414196e+00,1.393359365004775086e+00
2.000000000000000000e+00,2.500000000000000000e+01,4.204766317542983245e+00,6.350985338624685284e+00,1.565425794045339103e+00
3.000000000000000000e+00,0.000000000000000000e+00,2.260695310588721973e+00,5.566303363380925795e+00,1.895825758834519537e+00
3.000000000000000000e+00,1.000000000000000000e+00,2.357354803140665922e+00,5.393018688211043354e+00,1.870738633633153958e+00
